Time,Object Name,Status,Value,Units,Alert ID,Priority
12.03.2025 14:08:50,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:50,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:50,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:52,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:52,TIC Turbo Power,,7.3,,0,0
12.03.2025 14:08:52,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:52,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:52,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:54,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:54,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:08:54,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:54,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:54,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:56,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:56,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:08:56,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:56,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:08:56,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:58,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:08:58,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:08:58,TIC Turbo Power,,7.5,,0,0
12.03.2025 14:08:58,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:08:58,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:09:00,TIC Gauge 1,11,3.2053e+01,59,0,0
12.03.2025 14:09:00,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:00,TIC Turbo Power,,5.4,,0,0
12.03.2025 14:09:00,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:09:00,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:09:02,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:02,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:09:02,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:09:02,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:09:02,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:09:04,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:04,TIC Turbo Power,,6.8,,0,0
12.03.2025 14:09:04,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:09:04,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:09:04,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:09:06,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:09:06,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:06,TIC Turbo Power,,7.3,,0,0
12.03.2025 14:09:06,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:09:06,TIC Gauge 1,11,3.2053e+01,59,0,0
12.03.2025 14:09:08,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:08,TIC Turbo Power,,6.5,,0,0
12.03.2025 14:09:08,TIC Gauge 1,11,3.2053e+01,59,0,0
12.03.2025 14:09:08,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:09:08,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:09:10,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:09:10,TIC Turbo Power,,8.0,,0,0
12.03.2025 14:09:10,TIC Gauge 1,11,3.1999e+01,59,0,0
12.03.2025 14:09:10,TIC Gauge 2,5,9.9000e+09,59,0,0
